x_px,y_px,x_norm,y_norm
393.06883116883114,310.52077922077916,0.4747208105903758,0.5222757242757243
405.97272727272724,294.390909090909,0.49030522617479133,0.5470909090909092
420.48961038961033,284.17532467532465,0.5078376937072588,0.5628071928071929
430.70519480519476,272.88441558441554,0.5201753560449213,0.5801778221778222
444.1467532467532,261.5935064935064,0.5364091222786874,0.5975484515484517
455.9753246753246,248.151948051948,0.5506948365644017,0.6182277722277723
468.8792207792207,235.78571428571422,0.5662792521488172,0.6372527472527474
482.8584415584415,225.03246753246742,0.5831623690319342,0.653796203796204
491.99870129870123,211.590909090909,0.5942013300708953,0.6744755244755246
501.13896103896104,201.37532467532458,0.6052402911098563,0.6901918081918084
497.91298701298695,175.56753246753237,0.6013441872137524,0.729896103896104
493.6116883116883,157.82467532467524,0.5961493820189472,0.7571928071928073
487.1597402597402,139.54415584415574,0.5883571742267394,0.7853166833166835
479.09480519480513,115.8870129870129,0.5786169144864797,0.8217122877122879
475.3311688311688,96.53116883116877,0.5740714599410252,0.8514905094905096
476.9441558441558,78.25064935064927,0.5760195118890771,0.8796143856143858
482.8584415584415,65.88441558441548,0.5831623690319342,0.8986393606393608
491.4610389610389,54.593506493506425,0.5935519794215446,0.9160099900099901
504.364935064935,45.990909090908985,0.6091363950059602,0.9292447552447554
518.3441558441558,42.764935064935,0.626019511889077,0.9342077922077923
528.0220779220779,42.764935064935,0.6377078235773888,0.9342077922077923
540.3883116883117,45.45324675324673,0.6526428885124537,0.9300719280719281
554.3675324675324,50.82987012987007,0.6695260053955706,0.9218001998001999
561.8948051948051,58.894805194805144,0.6786169144864796,0.9093926073926075
571.5727272727272,66.95974025974022,0.6903052261747913,0.896985014985015
576.9493506493505,86.31558441558434,0.6967987326682977,0.8672067932067933
574.7987012987012,106.7467532467532,0.6942013300708951,0.8357742257742258
573.7233766233766,122.87662337662334,0.6929026287721939,0.810959040959041
570.4974025974026,145.45844155844145,0.68900652487609,0.7762177822177824
567.8090909090909,163.73896103896095,0.6857597716293368,0.7480939060939062
562.4324675324675,185.24545454545444,0.6792662651358303,0.7150069930069931
553.8298701298701,201.37532467532458,0.6688766547462199,0.6901918081918084
537.6999999999999,218.0428571428571,0.6493961352657004,0.6645494505494507
524.2584415584415,231.4844155844155,0.6331623690319342,0.6438701298701299
514.5805194805195,239.54935064935057,0.6214740573436225,0.6314625374625376
503.82727272727266,255.1415584415584,0.6084870443566095,0.6074745254745255
490.92337662337656,268.0454545454545,0.5929026287721939,0.5876223776223777
473.7181818181818,284.71298701298696,0.5721234079929732,0.56198001998002
461.351948051948,296.00389610389607,0.5571883430579082,0.5446093906093907
441.4584415584415,315.89740259740256,0.5331623690319341,0.514003996003996
418.87662337662334,338.4792207792207,0.5058896417592069,0.4792627372627374
387.69220779220774,368.58831168831165,0.46822730409686925,0.43294105894105905
358.1207792207792,398.1597402597402,0.43251301838258355,0.38744655344655354
350.0558441558441,416.9779220779221,0.42277275864232383,0.3584955044955045
360.27142857142854,434.18311688311684,0.43511042097998615,0.3320259740259741
396.2948051948051,431.49480519480517,0.47861691448647964,0.3361618381618382
416.1883116883116,417.5155844155844,0.5026428885124536,0.3576683316683317
441.4584415584415,402.4610389610389,0.5331623690319341,0.3808291708291709
461.8896103896103,387.40649350649346,0.5578376937072588,0.4039900099900101
475.8688311688311,373.4272727272727,0.5747208105903757,0.4254965034965036
495.7623376623376,348.15714285714284,0.5987467846163498,0.46437362637362645
514.0428571428571,325.0376623376623,0.6208247066942718,0.4999420579420579
533.9363636363636,297.61688311688306,0.6448506807202459,0.5421278721278722
546.8402597402597,282.0246753246753,0.6604350963046616,0.5661158841158842
561.8948051948051,258.90519480519475,0.6786169144864796,0.6016843156843157
580.1753246753246,232.55974025974024,0.7006948365644018,0.6422157842157843
594.6922077922077,210.51558441558439,0.7182273040968692,0.6761298701298701
605.4454545454545,197.07402597402597,0.7312143170838822,0.6968091908091908
614.0480519480519,179.33116883116872,0.7416039274734927,0.7241058941058942
629.1025974025973,158.3623376623376,0.7597857456553108,0.7563656343656344
648.9961038961038,139.54415584415574,0.7838117196812848,0.7853166833166835
668.8896103896103,132.5545454545454,0.8078376937072588,0.7960699300699301
691.4714285714285,137.93116883116875,0.8351104209799861,0.7877982017982019
710.8272727272727,126.6402597402597,0.8584870443566095,0.8051688311688312
731.2584415584415,126.10259740259733,0.8831623690319342,0.8059960039960041
740.3987012987012,139.00649350649348,0.8942013300708952,0.7861438561438562
745.7753246753246,165.35194805194794,0.9006948365644016,0.7456123876123878
735.0220779220779,186.85844155844154,0.8877078235773888,0.7125254745254745
719.4298701298701,200.29999999999995,0.8688766547462199,0.6918461538461539
700.0740259740259,222.88181818181818,0.8455000313695964,0.6571048951048951
685.0194805194805,236.3233766233766,0.8273182131877783,0.6364255744255745
667.2766233766233,255.6792207792207,0.8058896417592069,0.6066473526473528
658.1363636363636,259.98051948051943,0.7948506807202459,0.60002997002997
630.7155844155843,289.551948051948,0.7617337976033627,0.5545354645354647
612.4350649350649,308.90779220779217,0.7396558755254408,0.5247572427572429
587.164935064935,332.0272727272727,0.7091363950059602,0.4891888111888112
578.0246753246753,348.15714285714284,0.6980974339669992,0.46437362637362645
573.1857142857142,371.2766233766233,0.6922532781228432,0.42880519480519486
562.9701298701298,389.5571428571428,0.6799156157851809,0.40068131868131873
547.9155844155844,400.84805194805193,0.6617337976033627,0.38331068931068935
521.5701298701298,416.4402597402597,0.629915615785181,0.3593226773226774
504.364935064935,420.20389610389606,0.6091363950059602,0.3535324675324676
472.10519480519474,437.4090909090909,0.5701753560449212,0.3270629370629371
455.9753246753246,443.3233766233766,0.5506948365644017,0.317964035964036
436.6194805194805,451.92597402597397,0.5273182131877784,0.3047292707292708
420.48961038961033,458.37792207792205,0.5078376937072588,0.2948031968031969
400.05844155844153,469.1311688311688,0.4831623690319342,0.2782597402597403
378.0142857142857,477.19610389610386,0.45653899240855755,0.26585214785214795
363.4974025974026,487.4116883116883,0.4390065248760901,0.2501358641358642
346.29220779220776,493.8636363636363,0.41822730409686926,0.24020979020979027
330.7,499.2402597402597,0.39939613526570045,0.231938061938062
312.4194805194805,509.9935064935065,0.37731821318777836,0.2153946053946053
297.9025974025974,515.3701298701299,0.35978574565531085,0.20712287712287714
279.0844155844155,521.2844155844156,0.3370584729280381,0.19802397602397603
267.2558441558441,536.3389610389611,0.3227727586423238,0.17486313686313681
254.351948051948,557.8454545454546,0.3071883430579082,0.1417762237762238
241.98571428571427,579.8896103896104,0.2922532781228433,0.10786213786213783
221.0168831168831,596.0194805194806,0.266928602798168,0.08304695304695298
199.51038961038958,600.3207792207792,0.240954576824142,0.07642957042957055
174.77792207792206,598.1701298701298,0.21108444695401216,0.07973826173826182
144.1311688311688,589.0298701298701,0.1740714599410251,0.09380019980019982
103.8064935064935,577.2012987012987,0.12537016123972644,0.11199800199800203
87.67662337662337,568.061038961039,0.10588964175920697,0.12605994005994003
72.08441558441558,555.1571428571428,0.08705847292803814,0.14591208791208798
60.25584415584416,538.4896103896103,0.07277275864232387,0.17155444555444566
53.26623376623377,511.06883116883114,0.06433120020076542,0.21374025974025979
57.02987012987013,479.3467532467532,0.06887665474621997,0.26254345654345657
68.32077922077922,452.46363636363634,0.0825130183825836,0.303902097902098
77.46103896103895,440.6350649350649,0.09355197942154463,0.3220999000999001
110.25844155844155,419.1285714285714,0.13316236903193424,0.3551868131868132
137.14155844155843,427.19350649350645,0.16562990149946671,0.34277922077922085
158.11038961038957,448.7,0.190954576824142,0.3096923076923077
179.6168831168831,469.66883116883116,0.21692860279816797,0.2774325674325674
204.88701298701295,479.3467532467532,0.2474480833176485,0.26254345654345657
228.54415584415582,470.2064935064935,0.2760195118890771,0.2766053946053947
248.4376623376623,452.46363636363634,0.3000454859150511,0.303902097902098
262.95454545454544,438.48441558441556,0.31757795344751866,0.32540859140859146
285.5363636363636,415.364935064935,0.3448506807202459,0.36097702297702305
301.1285714285714,397.0844155844155,0.3636818495514147,0.3891008991008992
315.6454545454545,387.40649350649346,0.38121431708388226,0.4039900099900101
333.92597402597397,368.05064935064934,0.4032922391618043,0.43376823176823176
350.5935064935064,352.4584415584415,0.42342210929167445,0.4577562437562438
380.70259740259735,325.0376623376623,0.45978574565531083,0.4999420579420579
